,MARCA_lvhtn
GMC CHEVROLET,1
VANESA,1
JEEP-T-80,1
SINCA 1300,1
JEEP GLADIETOR V SUPER,1
MARSICO HNOS. S.A.,1
MERDEDES-BENZ,1
DEEWOO,1
LAN ROVER,1
CANNELLI - ALI,1
BORWGARD,1
322030,1
NISSAN URVAN,1
N.S.U.PRINZ,1
FIAT / 1995,1
SSANGY0NG,1
DAF,1
RENAULT-IKA,1
LEMIVA,1
EAGER BEAVER,1
600D                          ,1
HONDA        HO,1
OMBU                         B,1
POR PAR,1
SOLA Y BRUSA S.A,1
SOLA Y BRUSSA,1
P E U G E O T,1
-030- DACIA,1
LAND ROBER,1
OBERMAND,1
TALBOT LAGO,1
NISSAN PATROL,1
AFF.,1
4L,1
DORSEY,1
NISSAN SENTRA EX SALOON,1
FORD 1927,1
TORINO 300S,1
HIERFOR,1
SCOUT,1
TRAILMOBILE,1
SAMSUNG,1
SEDAN 3 PUERTAS,1
JEEP GLADIADOR V SUPER,1
-072-KIA,1
FORD F100,1
RASTROJERO IME,1
DAWEOO,1
GIGANTE Y TOMASETTI,1
JEEP GLADIATOR SUPER,1
CHEVROLET (042),1
KENWORTH                      ,1
RUKO,1
CHEVROLET SEDAN,1
CLIO RT,1
306XR,1
OAKLAND,1
FERIOLI,1
ZHENG ZHOU DONG FENG,1
DAUPHINE,1
FFF,1
PAGANI,1
CHEVROLET MONZA SL,1
ENGERAUTO,1
BELGRANOMETALURGICABELGRANOSRL,1
 T M,1
M.VIGNA,1
OPEL RECKORD - 1900,1
PEDRO GREGORIO,1
FIAT UNO SCR,1
RENAULT            R,1
ALTA ROMEO,1
-151-JEEP,1
CANIA,1
PUZZI,1
HERVETICA,1
VOLKSWAGEN  VOLKSWAGEN,1
BELTRAMI,1
JEEP GLADIETOR 500,1
JEEP- IKA,1
CIVIC LXS,1
TAUNUS,1
COBRA,1
RASTREJERO DIESEL,1
KAISER CARABELLA,1
FORD F-350,1
DODGE GRAN TURISMO,1
JEEP EST. IKA,1
VOLKSWAGEN GOL GLD,1
A.ZANICHELLI,1
FIAT AUTO ARGENTINA S.A.,1
RAMBLER - IKA,1
I.K.A. ESTANCIERA,1
HOTCHKISS,1
CHEVROLET D-40,1
FORD F900,1
CADILLAC FLEETWOOD SIXTY SPEC,1
FABRICA ARG. DE TANQUES,1
IKA WILLYS,1
CXCXC,1
VALSANO,1
OM SUPER ORIONE,1
OPEL REKORD,1
405 S.R.I.,1
PRATI FRUEHAUT,1
--,1
9999999,1
IKA-TORINO 300,1
MARENDA Y SANCH,1
DAKOTA,1
LUFKIN,1
ESCORT,1
RADTROJERO DIESEL,1
TIME,1
 STIVIA,1
BERLIET DIESEL,1
PESCE,1
HEARTLAND,1
SEVEL ARGENTINA SA,1
 GOMATRO,1
CESTARI,1
SIMCA 1300,1
LAMBERT                       ,1
MAZDA B2000,1
RA 3R CROS COUN,1
RENAULT (007),1
REUTER PORSCHE,1
FORD 600,1
SIAN DITELLA,1
L G,1
MASAT,1
GASPARI,1
CARAVAN CARINA,1
FIAT VIVACE,1
-121-SEAT,1
-058-HYUNDAI,1
SUEDITO,1
SUZUKI SWIFT  SEDAN NLX,1
EBRO,1
WILLYS BAQUEANO,1
DI TELLA TRAVELLER 1500,1
53 - VOLKSWAGEN,1
ESTANCIERA I.K.A,1
 DAIHATSU,1
"VALIANT III ""CORONADO""",1
PAMPAAZUL,1
TRIUNFAL,1
AUTO UNIN,1
-115- ROVER,1
AGRALE                        ,1
MORRIS BM-612,1
FORD FARLINE,1
GALAXY 2.O.L,1
INDUSTRIA METALURGICA SORAZABA,1
06819AMXMSL11,1
GWGFRWAG,1
VALIANT V-200,1
DDDDDDDDD,1
HENSCHEL,1
ESSEX,1
BELGRANO METAL.BELGRANO SRL,1
LINCOLM,1
IKA JEEPS,1
RSTROJERO,1
024 CHEVROLET,1
KIA MOTORS 4X2 DIESEL,1
"FORD ""T""",1
PRATI/FRUEHAUF,1
FIAT 125,1
99999,1
UNION D.K.W.,1
MARCA  FORD,1
SUZUKI 4X4,1
IKA-RENAULT 850,1
MAR Y SIERRA,1
-126-SUBARU,1
DYANE 6,1
M.S.,1
PEU,1
L.N.ESTRELLA,1
FORD MUSTANG 289,1
-104-PEUGEOT,1
LAMPONI,1
ISETTA,1
ESTANCIERA IKA                ,1
LEO COR,1
FRATI FRUEHAUF,1
MONTESA,1
JEEP  GLADIATOR V,1
CARAVANA,1
SIMCA,1
FIAT 600 E,1
T.CARGA,1
WILLYS                        ,1
 ROVER,1
RURAL ESTANCIERA IKA,1
DE PAOLI,1
ESSEX SUPER SIX,1
CCC,1
CRESCENTE                     ,1
SAVEIRO D,1
IGARRETA S.A.,1
404 AUTO,1
FIAT/INOCENTI,1
OMBU                          ,1
MORRIS MINOR 1000,1
FIAT 128,1
RASTRIJERO DIESEL,1
T. CARGA,1
SALVAGIOTTI,1
MONTECUYO,1
ARGENTINA,1
BEDFORD.,1
D.K.W.AUTO UNION,1
 GROSS,1
METALURGICA IMPAGRO S.R.L.,1
CONSTRUCCIONES METALURG,1
HINO,1
L.G.,1
CITRO+N 2CV,1
    PEUGEOT,1
A.F.FABRICA,1
-180-LAND ROVER,1
AAF,1
KANDUS,1
INCOMETAL,1
VAU HALL,1
GIGANTE Y TOMASSETTI,1
CHEVROLET CAMARO RALLY SPORT,1
FIAT (028)                    ,1
BERRUTTI,1
JEEP-ESTANCIERA,1
DODGE 200,1
FIAT               TAXI,1
PRATIFRUE,1
XCMG,1
TOYOTA HILUX,1
ASIA MOTORS,1
AS-PRA,1
BODNAR STEDAC Y CIA,1
MORRIST,1
 BAQUEANO IKA,1
047 - FORD,1
ANYDA,1
